   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 253,         31542,           15521,             21,      7071,         661,         17,             31878,                 248,                 59,         8968,           1779,            20
 254,         31608,           15553,             34,      7329,         648,         18,             32131,                 247,                 42,         9045,           1795,            28
 255,         31870,           15683,             28,      7067,         661,         25,             32385,                 249,                 56,         9098,           1809,            20
 256,         32370,           15932,             22,      7361,         668,         17,             32640,                 251,                 43,         9116,           1810,            20
 257,         32820,           16156,             22,      7360,         665,         16,             32896,                 254,                 43,         9153,           1818,            20
 258,         33334,           16412,             22,      7480,         671,         17,             33153,                 252,                 44,         9196,           1828,            22
 259,         33596,           16542,             23,      7806,         667,         17,             33411,                 248,                 43,         9243,           1838,            20
 260,         33712,           16599,             23,      7463,         677,         17,             33670,                 252,                 44,         9296,           1849,            20
 261,         34230,           16857,             23,      7519,         669,         17,             33930,                 253,                 44,         9316,           1849,            20
 262,         34688,           17085,             23,      7832,         645,         16,             34191,                 257,                 44,         9390,           1867,            20
 263,         35198,           17339,             24,      7462,         674,         16,             34453,                 257,                 44,         9392,           1867,            20
 264,         35610,           17544,             32,      7624,         681,         19,             34716,                 257,                 46,         9461,           1880,            22
 265,         35756,           17616,             24,      8122,         666,         17,             34980,                 256,                 45,         9529,           1896,            37
 266,         35854,           17664,             25,      7841,         689,         17,             35245,                 256,                 45,         9592,           1910,            22
 267,         36098,           17785,             25,      7533,         696,         17,             35511,                 260,                 46,         9598,           1911,            21
 268,         36522,           17996,             24,      7536,         694,         17,             35778,                 257,                 46,         9631,           1918,            21
 269,         36704,           18086,             25,      7380,         708,         17,             36046,                 264,                 48,         9692,           1926,            21
 270,         37024,           18245,             25,      7575,         710,         18,             36315,                 264,                 50,         9728,           1937,            22
 271,         37378,           18421,             26,      7786,         702,         17,             36585,                 265,                 50,         9715,           1931,            22
 272,         37902,           18682,             26,      8170,         707,         19,             36856,                 267,                 48,         9792,           1946,            21
 273,         37980,           18720,             26,      8164,         704,         18,             37128,                 264,                 48,         9817,           1950,            23
 274,         38100,           18779,             26,      7796,         705,         17,             37401,                 268,                 51,         9958,           1985,            23
 275,         38296,           18876,             26,      7526,         717,         18,             37675,                 267,                 50,         9943,           1978,            23
 276,         38680,           19067,             26,      7691,         727,         18,             37950,                 266,                 51,         9974,           1983,            22
 277,         38890,           19171,             26,      7908,         745,         18,             38226,                 271,                 50,        10006,           1989,            38
 278,         38932,           19191,             27,      7978,         705,         18,             38503,                 271,                 51,        10112,           2015,            22
 279,         39050,           19249,             27,      7995,         746,         18,             38781,                 273,                 51,        10108,           2009,            22
 280,         39350,           19398,             27,      7796,         734,         19,             39060,                 271,                 52,        10171,           2024,            22
 281,         39578,           19511,             27,      8018,         762,         19,             39340,                 274,                 48,        10165,           2021,            22
 282,         40050,           19746,             32,      8442,         748,         24,             39621,                 275,                 57,        10225,           2034,            23
 283,         40240,           19840,             28,      7997,         747,         18,             39903,                 276,                 50,        10219,           2030,            23
 284,         40632,           20035,             28,      8351,         745,         19,             40186,                 276,                 53,        10350,           2061,            23
 285,         40644,           20040,             28,      8853,         738,         38,             40470,                 277,                 55,        10397,           2070,            24
 286,         41150,           20292,             28,      8266,         743,         20,             40755,                 278,                 60,        10408,           2070,            24
 287,         41168,           20300,             28,      8848,         727,         18,             41041,                 278,                 56,        10408,           2070,            23
 288,         41210,           20320,             28,      8424,         744,         18,             41328,                 284,                 55,        10543,           2100,            24
 289,         41452,           20440,             28,      8192,         772,         19,             41616,                 282,                 56,        10602,           2114,            32
 290,         41862,           20644,             54,      8803,         764,         41,             41905,                 284,                 57,        10609,           2110,            24
 291,         42308,           20866,             29,      9024,         762,         21,             42195,                 282,                 56,        10628,           2114,            25
 292,         42824,           21123,             29,      8359,         774,         24,             42486,                 286,                 93,        10737,           2141,            25
 293,         43368,           21394,             30,      8495,         785,         21,             42778,                 287,                 58,        10759,           2140,            24
